n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,105144.000000,108053.320312,0.000036,139642,148528,53544,0,2344,92640
64,20,482936.000000,479519.531250,0.000166,513582,610503,219795,0,9588,381120
128,20,1638340.000000,1649918.750000,0.000569,1606129,2105930,757726,0,33004,1315200
256,20,6210742.000000,6367312.500000,0.002178,6289288,8614458,3097902,0,134796,5381760
512,20,23508840.000000,23636933.333333,0.008114,21405883,33200841,11936257,0,519144,20745440
1024,20,90462793.000000,91351933.333333,0.031384,92250219,134718776,48424892,0,2105724,84188160
2048,20,400915410.000000,397189800.000000,0.137147,390167660,536074841,192674346,0,8377615,335022880
4096,20,1583515139.000000,1575478166.666667,0.546763,1586571755,2149806758,772634806,0,33593552,1343578400
6144,20,3576112003.000000,3556787166.666667,1.220624,3473253784,4831172651,1736278559,0,75491212,3019402880
8192,20,6393901469.000000,6470436500.000000,2.200849,6378993890,8594327667,3088690895,0,134291812,5371344960
10240,20,10354074092.000000,10311794866.666668,3.570237,10393231030,13427657186,4825700826,0,209813800,8392142560
12288,20,15267818055.000000,15294814600.000000,5.241798,15043888308,19362170429,6958444545,0,302541884,12101184000
14336,20,21260068799.000000,21264698533.333336,7.336502,20935757839,26292236983,9448964279,0,410825504,16432447200
