n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,85907.000000,86116.406250,0.000030,90340,65936,23931,0,1045,40960
64,20,306001.000000,295135.416667,0.000102,288457,263238,95255,0,4143,163840
128,20,971964.000000,975910.416667,0.000337,1034739,1050604,378751,0,16493,655360
256,20,3398249.000000,3385387.500000,0.001178,3357431,4199136,1511932,0,65764,2621440
512,20,12429073.000000,12478941.666667,0.004312,12218110,16786572,6038181,0,262631,10485760
1024,20,52893834.000000,52017300.000000,0.017983,50953116,67128217,24135618,0,1049559,41943040
2048,20,245104046.000000,244865366.666667,0.084753,215556394,268477606,96509148,0,4196298,167772160
4096,20,997186179.000000,984892200.000000,0.341733,851436282,1073829731,385959860,0,16781231,671088640
6144,20,2209204485.000000,2223736433.333333,0.764119,1927498067,2416054462,868350239,0,37754783,1509949440
8192,20,3955590845.000000,3943832766.666667,1.363473,3551333211,4295155229,1543683720,0,67116949,2684354560
10240,20,6375210456.000000,6373429566.666667,2.205705,5653716182,6711121514,2411949785,0,104867729,4194304000
12288,20,9427796914.000000,9399581500.000000,3.249689,8427669430,9663963497,3473158636,0,151007101,6039797760
14336,20,13350905556.000000,13359537300.000000,4.589271,12070565685,13153674285,4727303377,0,205535068,8220835840
