n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,68235.000000,65278.320312,0.000027,73792,65946,23943,0,1043,40960
64,20,264283.000000,255645.572917,0.000088,290304,263047,95061,0,4146,163840
128,20,888743.000000,844338.020833,0.000286,825215,1050633,378778,0,16495,655360
256,20,2831473.000000,2878310.416667,0.000983,2782191,4198568,1511361,0,65767,2621440
512,20,10243404.000000,10440966.666667,0.003618,11530567,16785735,6037351,0,262624,10485760
1024,20,42127787.000000,42518833.333333,0.014559,42248243,67127768,24135172,0,1049556,41943040
2048,20,203688788.000000,205602266.666667,0.073268,173988337,268476428,96507973,0,4196295,167772160
4096,20,810257776.000000,812617700.000000,0.281252,691722506,1073831462,385961562,0,16781260,671088640
6144,20,1804003870.000000,1808735800.000000,0.621924,1530677592,2416053832,868349620,0,37754772,1509949440
8192,20,3335900991.000000,3239128900.000000,1.125618,2818611780,4295151705,1543680159,0,67116986,2684354560
10240,20,5289755971.000000,5256000600.000000,1.820821,4540150916,6711113774,2411942019,0,104867755,4194304000
12288,20,7689452389.000000,7674895433.333333,2.662129,6714987222,9663947999,3473143118,0,151007121,6039797760
14336,20,11159476360.000000,11011504933.333332,3.811042,9710984514,13153657826,4727286897,0,205535089,8220835840
