n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,112898.000000,113075.455729,0.000039,182624,93368,61435,30400,1533,0
64,20,458427.000000,457875.260417,0.000159,456868,374220,245823,122240,6157,0
128,20,1819228.000000,1835428.125000,0.000629,1921038,1498277,983416,490240,24621,0
256,20,7429708.000000,7408170.833333,0.002564,7404771,5995250,3933321,1963520,98409,0
512,20,27948837.000000,28110183.333333,0.009671,27838139,23983808,15731163,7859200,393445,0
1024,20,123338991.000000,111389966.666667,0.038649,111579339,95940105,62919735,31447040,1573330,0
2048,20,453290106.000000,451441066.666667,0.155538,450030855,383766156,251665095,125808640,6292421,0
4096,20,1791323368.000000,1786637800.000000,0.619665,1784059453,1535096352,1006653050,503275520,25167782,0
6144,20,3985149617.000000,3977791766.666667,1.374273,3952168847,3453973834,2264947132,1132400640,56626062,0
8192,20,7005251938.000000,6973427000.000000,2.397454,6887232874,6140426983,4026575745,2013184000,100667238,0
10240,20,11469858991.000000,11459965766.666668,3.962153,11398290616,9594423191,6291506250,3145625600,157291341,0
12288,20,16888866232.000000,16803157766.666666,5.794390,16753866135,13815985071,9059761246,4529725440,226498385,0
14336,20,22560159428.000000,22626838200.000000,7.812907,22464826671,18805106236,12331334444,6165483520,308288272,0
