n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,90630.000000,90468.294271,0.000031,182538,63112,41595,20480,1037,0
64,20,319440.000000,320087.500000,0.000110,318680,251244,165183,81920,4141,0
128,20,1385695.000000,1385535.416667,0.000478,1380983,1002469,658296,327680,16493,0
256,20,5951743.000000,5953941.666667,0.002042,6091859,4004210,2627721,1310720,65769,0
512,20,22267717.000000,22127966.666667,0.007618,21925545,16004032,10498523,5242880,262629,0
1024,20,88548261.000000,89055133.333333,0.030520,87751104,63989769,41968695,20971520,1049554,0
2048,20,404102288.000000,404066666.666667,0.145034,372644530,255902348,167819975,83886080,4196293,0
4096,20,1655404486.000000,1639252066.666667,0.558063,1488547172,1023516192,671190650,335544320,16781222,0
6144,20,3679306550.000000,3678116400.000000,1.263590,3379923429,2302824778,1510095292,754974720,37754766,0
8192,20,6456680176.000000,6489319366.666667,2.220987,5920002135,4093856487,2684562305,1342177280,67116902,0
10240,20,10755666720.000000,10803829166.666668,3.708973,10111914559,6396578711,4194559050,2097152000,104867661,0
12288,20,15815600263.000000,15862455766.666666,5.499400,15009903111,9211014063,6040108126,3019898880,151007057,0
14336,20,21706615342.000000,21447646966.666664,7.392381,20018734473,12537156156,8221203244,4110417920,205534992,0
