n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,202720.000000,201610.416667,0.000068,275089,198418,131845,65536,1037,0,4
64,64,768719.000000,798119.270833,0.000313,753404,792252,525967,262144,4141,0,4
128,64,3105217.000000,3142089.583333,0.001073,3122434,3165729,2100660,1048576,16493,0,4
256,64,12878844.000000,12919016.666667,0.004431,12838885,12655626,8395553,4194304,65769,0,4
512,64,49122181.000000,49331900.000000,0.016916,48586158,50609981,33570136,16777216,262629,0,4
1024,64,206686373.000000,207115100.000000,0.075789,206658661,202406852,134248417,67108864,1049571,0,4
2048,64,862548933.000000,853257333.333333,0.296048,820396076,809563832,536932069,268435456,4196307,0,4
4096,64,3328064872.000000,3315092466.666667,1.155559,3126311071,3238122961,2147599876,1073741824,16781261,0,4
6144,64,8084229350.000000,8109287400.000000,2.812263,7707817107,7285689418,4832015499,2415919104,37754815,0,4
8192,64,14694684259.000000,14725700233.333334,5.078921,14073209098,12952279236,8590194950,4294967296,67116990,0,4
10240,64,23682311586.000000,23763833466.666664,8.171477,22697675062,20237799405,13422045257,6710886400,104867748,0,4
12288,64,33740090136.000000,33482258366.666668,11.579932,32139422355,29142411722,19327728180,9663676416,151007126,0,4
14336,64,45607360448.000000,45832087200.000000,15.875632,43951444500,39665996483,26307124018,13153337344,205535121,0,4
