n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,16,62468.000000,63243.977865,0.000022,130169,99601,49428,0,1533,48640,4
64,16,230599.000000,225999.869792,0.000077,224458,398978,197237,0,6157,195584,4
128,16,989449.000000,996769.270833,0.000333,1075628,1596931,787928,0,24619,784384,4
256,16,3352221.000000,3352883.333333,0.001154,3319086,6388509,3148475,0,98402,3141632,4
512,16,11893313.000000,11904016.666667,0.004104,11780928,25555606,12587455,0,393431,12574720,4
1024,16,43583636.000000,43843166.666667,0.015112,44802468,102230867,50342275,0,1573328,50315264,4
2048,16,169501549.000000,169296200.000000,0.059959,176525442,408934534,201348304,0,6292406,201293824,4
4096,16,684921594.000000,678446300.000000,0.232557,669221349,1635760606,805351988,0,25167786,805240832,4
6144,16,1593259632.000000,1616837966.666667,0.549893,1589740925,3680453368,1811986274,0,56626070,1811841024,4
8192,16,2970019726.000000,2974008000.000000,1.033116,2939789779,6543056025,3221294393,0,100667232,3221094400,4
10240,16,4728300862.000000,4789551066.666666,1.645201,4730056058,10223547683,5033255355,0,157291368,5033000960,4
12288,16,7047062601.000000,6966277533.333333,2.387525,6850249706,14721929998,7247870941,0,226498353,7247560704,4
14336,16,9574548079.000000,9631118466.666668,3.298775,9611141103,20038203775,9865141865,0,308288278,9864773632,4
