n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,99729.000000,98898.307292,0.000034,91790,64089,42572,20480,1037,0,4
64,20,380424.000000,372264.843750,0.000128,339107,255242,169192,81920,4130,0,4
128,20,1461450.000000,1478879.166667,0.000508,1522127,1018338,674201,327680,16457,0,4
256,20,5969150.000000,5793233.333333,0.002010,5273678,4068316,2691894,1310720,65702,0,4
512,20,22813908.000000,22982500.000000,0.007943,21071883,16262917,10757549,5242880,262488,0,4
1024,20,92139457.000000,92109800.000000,0.032150,86319164,65035021,43014208,20971520,1049293,0,4
2048,20,408549921.000000,406038666.666667,0.140462,344944542,260104166,172022278,83886080,4195808,0,4
4096,20,1628119334.000000,1633512000.000000,0.561563,1379514155,1040291546,687966800,335544320,16780426,0,4
6144,20,3686226172.000000,3685050300.000000,1.270014,3143772229,2340625505,1547897331,754974720,37753454,0,4
8192,20,6597253886.000000,6541164600.000000,2.300313,5720133518,4161024525,2751731997,1342177280,67115248,0,4
10240,20,10338826288.000000,10410912033.333332,3.765637,8833095789,6501671863,4299654722,2097152000,104865141,0,4
