n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,93026.000000,99428.841146,0.000032,132212,64089,42572,20480,1037,0,4
64,20,336085.000000,337525.260417,0.000112,295811,255242,169192,81920,4130,0,4
128,20,1319660.000000,1362969.791667,0.000465,1215449,1018338,674201,327680,16457,0,4
256,20,5263989.000000,5136504.166667,0.001808,4838946,4068316,2691894,1310720,65702,0,4
512,20,20374762.000000,20224116.666667,0.006978,18566661,16262917,10757549,5242880,262488,0,4
1024,20,80938545.000000,81689133.333333,0.028159,74066673,65035021,43014208,20971520,1049293,0,4
2048,20,370839752.000000,366829700.000000,0.125930,298461344,260104166,172022278,83886080,4195808,0,4
4096,20,1456972199.000000,1472665433.333333,0.496776,1186501664,1040291546,687966800,335544320,16780426,0,4
6144,20,3270672499.000000,3257574833.333333,1.125129,2701094123,2340625505,1547897331,754974720,37753454,0,4
8192,20,5879900123.000000,5822822033.333334,2.000704,4858562939,4161024525,2751731997,1342177280,67115248,0,4
10240,20,9234261074.000000,9145337533.333332,3.132351,7623843998,6501671863,4299654722,2097152000,104865141,0,4
