n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,90340.000000,89601.692708,0.000032,90201,318466,122373,0,1533,194560,4
64,64,360868.000000,356533.854167,0.000125,468903,1279132,490639,0,6157,782336,4
128,64,1404290.000000,1401394.791667,0.000483,1517771,5126625,1964468,0,24621,3137536,4
256,64,5173221.000000,5162966.666667,0.001773,5141048,20525962,7861025,0,98409,12566528,4
512,64,19582854.000000,19650400.000000,0.006721,19472221,82144829,31452504,0,393445,50298880,4
1024,64,76524910.000000,76982433.333333,0.026600,75594086,328653252,125818849,0,1573347,201261056,4
2048,64,314180277.000000,326016066.666667,0.114037,312043866,1314763448,503295717,0,6292435,805175296,4
4096,64,1342776656.000000,1318079966.666667,0.453152,1342612242,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3358171754.000000,3282290566.666667,1.131257,3248630299,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7668156954.000000,7565522900.000000,2.681646,7353862215,21038041284,8052996358,0,100667326,12884377600,4
10240,64,13517266869.000000,13877395133.333334,4.812233,13528893067,32872070125,12582774857,0,157291428,20132003840,4
12288,64,20985680118.000000,21340390466.666664,7.313200,20808332522,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30206587436.000000,29768713633.333332,10.312950,29541954085,64429766339,24662383410,0,308288401,39459094528,4
