n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,77280.000000,77376.757812,0.000027,139613,214799,82690,0,1037,131072,4
64,64,257579.000000,281534.114583,0.000089,257099,857782,329358,0,4136,524288,4
128,64,1346345.000000,1041386.979167,0.000345,1086657,3427877,1314240,0,16485,2097152,4
256,64,3986636.000000,3731937.500000,0.001351,3756206,13704200,5249843,0,65749,8388608,4
512,64,14688951.000000,14430883.333333,0.004872,14009965,54801288,20984262,0,262594,33554432,4
1024,64,57631980.000000,57858866.666667,0.019895,57339773,219179524,83912300,0,1049496,134217728,4
2048,64,267032203.000000,266373700.000000,0.092297,230355660,876658900,335591825,0,4196163,536870912,4
4096,64,1180203488.000000,1132407466.666667,0.369301,930375885,3506542128,1342277508,0,16780972,2147483648,4
6144,64,2857421175.000000,2689765466.666667,0.933316,2410933349,7889647454,3020054851,0,37754395,4831838208,4
8192,64,5909511646.000000,5967180166.666666,2.099676,5358936225,14025976850,5368925779,0,67116479,8589934592,4
10240,64,10501679906.000000,10513750866.666668,3.615419,9273855784,21915529079,8388889086,0,104867193,13421772800,4
12288,64,15599543400.000000,15834201066.666666,5.406411,14128130631,31558295648,12079936344,0,151006472,19327352832,4
14336,64,21926032039.000000,21652143366.666664,7.582773,19848112539,42954290323,16442081286,0,205534349,26306674688,4
