n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,83102.000000,83127.669271,0.000029,149912,213775,81666,0,1037,131072,4
64,64,284317.000000,287802.343750,0.000098,281406,853686,325262,0,4136,524288,4
128,64,1071941.000000,1078679.166667,0.000369,1062895,3411493,1297856,0,16485,2097152,4
256,64,3869012.000000,3902131.250000,0.001347,3901187,13638664,5184307,0,65749,8388608,4
512,64,14554993.000000,14551233.333333,0.005014,14870368,54539144,20722118,0,262594,33554432,4
1024,64,61631457.000000,62089966.666667,0.020859,59682002,218130948,82863724,0,1049496,134217728,4
2048,64,278745496.000000,291872433.333333,0.100978,247153477,872464596,331397521,0,4196163,536870912,4
4096,64,1120532034.000000,1146400933.333333,0.389435,953536500,3489764912,1325500292,0,16780972,2147483648,4
6144,64,2878732618.000000,2890578866.666667,1.007968,2512912324,7851898718,2982306115,0,37754395,4831838208,4
8192,64,6146045661.000000,6065673833.333334,2.060241,5489680028,13958867986,5301816915,0,67116479,8589934592,4
10240,64,10237244218.000000,10163801100.000000,3.639947,9452373423,21810671479,8284031486,0,104867193,13421772800,4
12288,64,15637589979.000000,15820486966.666666,5.444793,14389663719,31407300704,11928941400,0,151006472,19327352832,4
14336,64,21960502164.000000,22207539766.666664,7.633585,20285902392,42748769427,16236560390,0,205534349,26306674688,4
