n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,69635.000000,69649.088542,0.000024,69300,26273,8846,0,1043,16384,4
64,8,223721.000000,226154.687500,0.000077,224317,103869,34189,0,4144,65536,4
128,8,844323.000000,837707.291667,0.000291,922627,412333,133705,0,16484,262144,4
256,8,3120133.000000,3113029.166667,0.001075,3066164,1643191,528870,0,65745,1048576,4
512,8,11444004.000000,11462491.666667,0.003970,11467002,6563872,2107015,0,262553,4194304,4
1024,8,44984616.000000,45435266.666667,0.015571,44847825,26238403,8411735,0,1049452,16777216,4
2048,8,214615708.000000,214405700.000000,0.074966,180367146,104909835,33604886,0,4196085,67108864,4
4096,8,822774727.000000,832153066.666667,0.291208,694536262,419554191,134338014,0,16780721,268435456,4
6144,8,1901049209.000000,1909821100.000000,0.653414,1596478698,943941157,302207408,0,37753973,603979776,4
8192,8,3425690066.000000,3425569900.000000,1.177108,2878480197,1678048858,537191151,0,67115883,1073741824,4
10240,8,5348536303.000000,5342284300.000000,1.836905,4633611314,2621874529,839286593,0,104866336,1677721600,4
12288,8,7818742983.000000,7838544366.666667,2.734420,6779543364,3775370670,1208446165,0,151005401,2415919104,4
14336,8,10751209691.000000,10770790433.333332,3.719815,9237768084,5138773193,1644905743,0,205533114,3288334336,4
