n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,408953.000000,406566.406250,0.000162,571447,95991,63612,31769,610,0,4
64,64,1506832.000000,1528390.625000,0.000528,1553860,389639,258300,129081,2258,0,4
128,64,5610182.000000,5606062.500000,0.001968,5297812,1569831,1040892,520313,8626,0,4
256,64,19171682.000000,19301433.333333,0.006623,18622017,6301784,4178934,2089206,33644,0,4
512,64,72198893.000000,70715533.333333,0.024746,70024117,25252041,16746480,8372723,132838,0,4
1024,64,272557727.000000,272060600.000000,0.094697,277783689,101097929,67047408,33522675,527846,0,4
2048,64,1114636653.000000,1086543966.666667,0.374461,1102695839,404571033,268312542,134154217,2104274,0,4
4096,64,4533528278.000000,4568311033.333334,1.569205,4373647055,1618642805,1073496018,536743905,8402882,0,4
6144,64,11512936509.000000,11267679333.333332,3.892557,11040269638,3642215259,2415550410,1207769051,18895798,0,4
8192,64,22865084703.000000,22626346166.666664,8.358791,23156283317,6475288353,4294475694,2147229649,33583010,0,4
10240,64,43858042506.000000,45165837333.333328,14.997592,43895629843,10117862098,6710271890,3355125696,52464512,0,4
12288,64,70108040279.000000,70547277266.666656,24.185110,71083428277,14569936507,9662938990,4831457199,75540318,0,4
14336,64,98611697846.000000,99667798366.666672,34.822726,99216952884,19831511672,13152477038,6576224174,102810460,0,4
