n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,307754.000000,308570.572917,0.000109,371319,294146,195333,97280,1533,0,4
64,64,1182948.000000,1501958.333333,0.000411,1172359,1181340,784015,391168,6157,0,4
128,64,4743810.000000,4772191.666667,0.001650,4702745,4734433,3141044,1568768,24621,0,4
256,64,19516202.000000,19572583.333333,0.006743,19467105,18955146,12573473,6283264,98409,0,4
512,64,74063689.000000,74438166.666667,0.025670,73778190,75857469,50314584,25149440,393445,0,4
1024,64,305409527.000000,305132200.000000,0.104720,302611682,303495620,201291745,100630528,1573347,0,4
2048,64,1205125266.000000,1206595266.666667,0.417863,1198328613,1214116536,805236453,402587648,6292435,0,4
4096,64,4813265623.000000,4793392600.000000,1.644604,4709430322,4856729041,3221079556,1610481664,25167821,0,4
6144,64,11360034869.000000,11350016133.333332,3.932482,11325515192,10927849546,7247541387,3623682048,56626111,0,4
8192,64,21088844882.000000,21109234366.666664,7.238408,21026678505,19427494084,12884637958,6442188800,100667326,0,4
10240,64,34336779046.000000,34088223033.333332,11.859125,33939752820,30355569645,20132276297,10066001920,157291428,0,4
12288,64,49362547171.000000,49358457233.333336,16.875283,48845301931,43712238026,28990618164,14495121408,226498454,0,4
14336,64,66993528285.000000,66996114166.666664,23.117042,66942581295,59497379523,39459543858,19729547264,308288401,0,4
