n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,66750.000000,66328.059896,0.000023,66887,26168,8739,0,1045,16384,4
64,8,235898.000000,229413.411458,0.000077,224025,103653,33968,0,4149,65536,4
128,8,843178.000000,841226.562500,0.000290,927968,411975,133342,0,16489,262144,4
256,8,3110410.000000,3165229.166667,0.001072,3063613,1643022,528697,0,65749,1048576,4
512,8,11476223.000000,11528225.000000,0.003968,11524649,6564641,2107755,0,262582,4194304,4
1024,8,46155240.000000,46781833.333333,0.015750,45236173,26237459,8410786,0,1049457,16777216,4
2048,8,211064561.000000,211304633.333333,0.073209,177004030,104915121,33610241,0,4196016,67108864,4
4096,8,834984307.000000,834624833.333333,0.292425,703239814,419580255,134364098,0,16780701,268435456,4
6144,8,1906402164.000000,1898848466.666667,0.654017,1589015929,943971336,302237598,0,37753962,603979776,4
8192,8,3432867363.000000,3408665800.000000,1.171507,2852481777,1678144890,537287212,0,67115854,1073741824,4
10240,8,5350659074.000000,5397701366.666666,1.835301,4603578021,2622018477,839430547,0,104866330,1677721600,4
12288,8,7813721874.000000,7790049600.000000,2.704394,6709769771,3775777692,1208853211,0,151005377,2415919104,4
14336,8,10761825866.000000,10758849200.000000,3.691759,9401662209,5139049283,1645181828,0,205533119,3288334336,4
