n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,91452.000000,91888.085938,0.000032,90933,318466,122373,0,1533,194560,4
64,64,356635.000000,355015.885417,0.000123,356258,1279132,490639,0,6157,782336,4
128,64,1426095.000000,1426739.583333,0.000490,1498653,5126625,1964468,0,24621,3137536,4
256,64,5331130.000000,5194383.333333,0.001808,5467094,20525962,7861025,0,98409,12566528,4
512,64,19657959.000000,19526666.666667,0.006722,19424759,82144829,31452504,0,393445,50298880,4
1024,64,78451177.000000,78486566.666667,0.026954,78349939,328653252,125818849,0,1573347,201261056,4
2048,64,322522185.000000,338107133.333333,0.110476,324270871,1314763448,503295717,0,6292435,805175296,4
4096,64,1311066751.000000,1315489300.000000,0.452741,1291503604,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3672676676.000000,3650944366.666667,1.202664,3438268831,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7718449083.000000,7851792533.333333,2.566430,7356912557,21038041284,8052996358,0,100667326,12884377600,4
10240,64,13726686792.000000,13756216700.000000,4.803111,13950021255,32872070125,12582774857,0,157291428,20132003840,4
12288,64,21932440952.000000,21575862733.333336,7.484741,21238538612,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30204267842.000000,30366416200.000000,10.627670,29589215615,64429766339,24662383410,0,308288401,39459094528,4
