n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,80156.000000,80191.796875,0.000028,80803,214799,82690,0,1037,131072,4
64,64,285345.000000,285053.385417,0.000098,281762,857782,329358,0,4136,524288,4
128,64,1139891.000000,1140002.083333,0.000390,1220582,3427877,1314240,0,16485,2097152,4
256,64,4182509.000000,4165004.166667,0.001446,4171561,13704200,5249843,0,65749,8388608,4
512,64,15691510.000000,15616500.000000,0.005414,15485590,54801288,20984262,0,262594,33554432,4
1024,64,64126984.000000,66655533.333333,0.027490,62972016,219179524,83912300,0,1049496,134217728,4
2048,64,300870911.000000,314307800.000000,0.101883,252813442,876658900,335591825,0,4196163,536870912,4
4096,64,1232475021.000000,1215889766.666667,0.423453,1047002723,3506542114,1342277494,0,16780972,2147483648,4
6144,64,3004525850.000000,2955726400.000000,1.025488,2613506481,7889647443,3020054840,0,37754395,4831838208,4
8192,64,6379263235.000000,6408591100.000000,2.248471,5894797716,14025976844,5368925773,0,67116479,8589934592,4
10240,64,10931317168.000000,10954250233.333332,3.769206,10093997184,21915529150,8388889157,0,104867193,13421772800,4
12288,64,16833124133.000000,16911531733.333334,5.865362,15787449629,31558295640,12079936337,0,151006471,19327352832,4
14336,64,23397511566.000000,23703555033.333336,8.112387,21682881987,42954290325,16442081288,0,205534349,26306674688,4
