n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,68593.000000,68467.187500,0.000024,69524,26210,8781,0,1045,16384,4
64,8,220254.000000,222393.750000,0.000076,220901,103732,34053,0,4143,65536,4
128,8,853967.000000,850621.354167,0.000294,952584,412290,133658,0,16488,262144,4
256,8,3121209.000000,3124327.083333,0.001081,3185703,1643814,529471,0,65767,1048576,4
512,8,11629850.000000,11701016.666667,0.004010,11687147,6565434,2108552,0,262578,4194304,4
1024,8,45827124.000000,45812266.666667,0.015699,45556295,26236519,8409858,0,1049445,16777216,4
2048,8,212093143.000000,211185733.333333,0.073795,180475104,104913140,33608240,0,4196036,67108864,4
4096,8,834276224.000000,830587066.666667,0.297234,703476985,419550613,134334425,0,16780732,268435456,4
6144,8,1947043276.000000,1900838833.333333,0.654095,1603184554,943934914,302201131,0,37754007,603979776,4
8192,8,3383227338.000000,3338340800.000000,1.175064,2861419144,1678031050,537173351,0,67115875,1073741824,4
10240,8,5306513525.000000,5320300366.666666,1.847330,4599419801,2621861876,839273909,0,104866367,1677721600,4
12288,8,7911630137.000000,7829217000.000000,2.698419,6746588234,3775516630,1208592133,0,151005393,2415919104,4
14336,8,10828677033.000000,10740221533.333332,3.693600,9316384338,5138822513,1644955065,0,205533112,3288334336,4
