n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,93044.000000,92973.697917,0.000033,198692,64089,42572,20480,1037,0,4
64,20,412442.000000,377709.895833,0.000174,523942,255242,169192,81920,4130,0,4
128,20,1744111.000000,1685655.208333,0.000519,1327283,1018338,674201,327680,16457,0,4
256,20,6312519.000000,5667687.500000,0.001993,5368509,4068316,2691894,1310720,65702,0,4
512,20,22571188.000000,23174383.333333,0.008624,21151786,16262917,10757549,5242880,262488,0,4
1024,20,94450796.000000,94022833.333333,0.032458,86174686,65035021,43014208,20971520,1049293,0,4
2048,20,404187944.000000,405618166.666667,0.138268,330133524,260104166,172022278,83886080,4195808,0,4
4096,20,1649384763.000000,1614951033.333333,0.551019,1337860870,1040291546,687966800,335544320,16780426,0,4
6144,20,3630292103.000000,3589878100.000000,1.239589,3016869895,2340625505,1547897331,754974720,37753454,0,4
8192,20,6459887991.000000,6468300166.666667,2.234795,5449246291,4161024525,2751731997,1342177280,67115248,0,4
10240,20,10042315653.000000,10010748766.666668,3.440886,8487386820,6501671863,4299654722,2097152000,104865141,0,4
