n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,128,133099.000000,132440.885417,0.000046,132814,610207,219554,0,1533,389120,4
64,128,541729.000000,540427.083333,0.000188,535437,2452400,881571,0,6157,1564672,4
128,128,2185212.000000,2187143.750000,0.000757,2174471,9832327,3532635,0,24620,6275072,4
256,128,8348491.000000,8292429.166667,0.002823,8310614,39375383,14143917,0,98410,25133056,4
512,128,32611597.000000,32624033.333333,0.011720,32649570,157589971,56598768,0,393443,100597760,4
1024,128,136989542.000000,133798266.666667,0.045359,132458937,630543717,226448257,0,1573348,402522112,4
2048,128,542239506.000000,539203766.666667,0.185982,533023948,2522517380,905874354,0,6292434,1610350592,4
4096,128,3093428907.000000,3048382366.666667,1.055922,3032582870,10090794452,3623699965,0,25167831,6441926656,4
6144,128,9005174143.000000,8935724566.666668,3.141326,9054995450,22704795709,8153441412,0,56626105,14494728192,4
8192,128,17146121694.000000,17292655533.333336,5.896481,17136004183,40364553167,14495130660,0,100667307,25768755200,4
10240,128,27541491535.000000,27667644300.000000,9.429823,27390303037,63070054985,22648755876,0,157291429,40264007680,4
12288,128,40096024031.000000,39841958366.666672,13.772600,40028115972,90821356476,32614372369,0,226498475,57980485632,4
14336,128,55311406674.000000,54991692733.333336,19.101601,54758697121,123618355233,44391877762,0,308288415,78918189056,4
