n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,73188.000000,73451.562500,0.000026,73802,30904,20475,9920,509,0,4
64,20,275499.000000,276474.218750,0.000094,270336,124364,81983,40320,2061,0,4
128,20,1236724.000000,1237937.500000,0.000429,1530624,498853,328056,162560,8237,0,4
256,20,5161903.000000,5152212.500000,0.001775,5155371,1997554,1311881,652800,32873,0,4
512,20,19280635.000000,19476883.333333,0.006693,19039829,7993024,5245403,2616320,131301,0,4
1024,20,80990243.000000,81088833.333333,0.027850,78178650,31976969,20976695,10475520,524754,0,4
2048,20,377059904.000000,365530500.000000,0.124814,361823407,127913612,83892935,41922560,2098117,0,4
4096,20,1623183775.000000,1607675900.000000,0.557781,1518916832,511686176,335564410,167731200,8390566,0,4
6144,20,3726405991.000000,3704575033.333333,1.274587,3492010460,1151300938,754997692,377425920,18877326,0,4
8192,20,6708358367.000000,6625170833.333333,2.310362,6344844766,2046786279,1342221185,671006720,33558374,0,4
10240,20,11244657122.000000,11295059200.000000,3.876404,10866875244,3198109591,2097202250,1048473600,52433741,0,4
12288,20,17022123204.000000,17495192500.000000,5.921029,16443070419,4605293487,3019963486,1509826560,75503441,0,4
14336,20,23606386260.000000,24607634866.666668,8.379702,23315111373,6268331580,4110498604,2055065600,102767376,0,4
