n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,92861.000000,92303.450521,0.000032,133809,64089,42572,20480,1037,0,4
64,20,333261.000000,327548.958333,0.000116,295441,255242,169192,81920,4130,0,4
128,20,1831605.000000,1673481.250000,0.000486,1270481,1018338,674201,327680,16457,0,4
256,20,5820975.000000,5785500.000000,0.002005,5393588,4068316,2691894,1310720,65702,0,4
512,20,22353171.000000,25893616.666667,0.007864,20825598,16262917,10757549,5242880,262488,0,4
1024,20,89337844.000000,89494966.666667,0.032691,82082642,65035021,43014208,20971520,1049293,0,4
2048,20,395192985.000000,395159800.000000,0.135802,328356532,260104166,172022278,83886080,4195808,0,4
4096,20,1593367889.000000,1594390033.333333,0.545724,1322668221,1040291546,687966800,335544320,16780426,0,4
6144,20,3581716059.000000,3562337766.666667,1.235169,3012610161,2340625505,1547897331,754974720,37753454,0,4
8192,20,6464558306.000000,6386716400.000000,2.201774,5419571953,4161024525,2751731997,1342177280,67115248,0,4
10240,20,9993959052.000000,9927368933.333332,3.420028,8415863516,6501671863,4299654722,2097152000,104865141,0,4
