n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
4096,2,487361549.000000,486639333.333333,0.168133,490586567,293847186,201579726,33554432,25166788,33546240,4
4096,4,558737064.000000,564993466.666667,0.193006,536544499,444671727,285302998,67108864,25167385,67092480,4
4096,8,1055243464.000000,1053149500.000000,0.365803,1050557413,763397162,335609067,0,25167679,402620416,4
4096,16,699050210.000000,677859533.333333,0.233225,693215191,1635760606,805351988,0,25167786,805240832,4
4096,32,936287707.000000,899595466.666667,0.311686,921599021,2843624145,1207974666,0,25167815,1610481664,4
4096,64,1414610130.000000,1362579500.000000,0.462521,1341981702,5259349457,2013218308,0,25167821,3220963328,4
4096,128,3209771977.000000,3187812433.333333,1.104000,3052707948,10090794452,3623699965,0,25167831,6441926656,4
4096,256,7889584734.000000,7797530633.333333,2.680393,7669759306,19753706372,6844685233,0,25167827,12883853312,4
