n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,89083.000000,90190.755208,0.000031,157255,46548,20686,0,1542,24320,4
64,8,344727.000000,341626.041667,0.000117,338007,186248,82294,0,6162,97792,4
128,8,1334649.000000,1335601.041667,0.000461,1332779,745528,328712,0,24624,392192,4
256,8,4786184.000000,4841670.833333,0.001656,4823248,2982025,1312800,0,98409,1570816,4
512,8,17779165.000000,17869800.000000,0.006155,17684128,11926771,5245968,0,393443,6287360,4
1024,8,67255688.000000,68336566.666667,0.023270,66374373,47710571,20979622,0,1573317,25157632,4
2048,8,265034451.000000,269854666.666667,0.091347,275358551,190846001,83906697,0,6292392,100646912,4
4096,8,1057455072.000000,1061557566.666667,0.362812,1047289395,763385253,335597133,0,25167704,402620416,4
6144,8,2408039253.000000,2411766633.333333,0.834691,2401795308,1717601768,755055325,0,56625931,905920512,4
8192,8,4301497944.000000,4398315933.333334,1.494551,4344143635,3053510292,1342295997,0,100667095,1610547200,4
10240,8,6936165248.000000,6940881266.666667,2.399564,6862115485,4771108246,2097316671,0,157291095,2516500480,4
12288,8,9998024939.000000,10117858333.333332,3.469890,9989150410,6870386850,3020108467,0,226498031,3623780352,4
14336,8,13935052198.000000,13825229933.333334,4.789489,13750259249,9351372015,4110697251,0,308287948,4932386816,4
