n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,87744.000000,87658.919271,0.000030,152554,46504,20642,0,1542,24320,4
64,8,318801.000000,321552.604167,0.000111,317442,186306,82349,0,6165,97792,4
128,8,1306024.000000,1307205.208333,0.000451,1298629,745234,328415,0,24627,392192,4
256,8,4727553.000000,4737270.833333,0.001639,4796310,2981806,1312579,0,98411,1570816,4
512,8,17549161.000000,17808900.000000,0.006106,17612632,11926614,5245814,0,393440,6287360,4
1024,8,67416097.000000,67056700.000000,0.023247,67062721,47710667,20979713,0,1573322,25157632,4
2048,8,260778701.000000,262229600.000000,0.089958,258692838,190844722,83905404,0,6292406,100646912,4
4096,8,1047608934.000000,1050658400.000000,0.361624,1038958125,763381626,335593484,0,25167726,402620416,4
6144,8,2403959495.000000,2408908200.000000,0.828677,2428901942,1717597225,755050802,0,56625911,905920512,4
8192,8,4333747394.000000,4309545000.000000,1.495498,4290504673,3053535282,1342321043,0,100667039,1610547200,4
10240,8,6855130074.000000,6905592133.333333,2.377689,6841783299,4771118200,2097326599,0,157291121,2516500480,4
12288,8,10033479846.000000,10021984333.333332,3.469846,9946080082,6870417030,3020138621,0,226498057,3623780352,4
14336,8,13750129261.000000,13809396900.000000,4.771225,13684259089,9351401818,4110727040,0,308287962,4932386816,4
