n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,55391.000000,53976.627604,0.000019,55003,27204,17607,4096,1533,3968,4
64,4,217987.000000,215430.729167,0.000075,337825,109214,70545,16384,6157,16128,4
128,4,891011.000000,877642.708333,0.000303,876079,435820,280650,65536,24610,65024,4
256,4,2940636.000000,2936793.750000,0.001012,2896162,1739469,1117801,262144,98404,261120,4
512,4,10096705.000000,10078950.000000,0.003506,10415795,6949912,4461391,1048576,393417,1046528,4
1024,4,36185803.000000,35888466.666667,0.012500,35864055,27795470,17837682,4194304,1573276,4190208,4
2048,4,136375061.000000,137127466.666667,0.047084,138871306,111169425,71330946,16777216,6292239,16769024,4
4096,4,553971214.000000,545693000.000000,0.188507,560219968,444671727,285302998,67108864,25167385,67092480,4
6144,4,1268690811.000000,1258032566.666667,0.435748,1252853989,1000477624,641886872,150994944,56625440,150970368,4
8192,4,2310105567.000000,2315591033.333333,0.801437,2311102475,1778615636,1141111124,268435456,100666368,268402688,4
10240,4,3739238907.000000,3741141133.333333,1.286769,3712331924,2779061578,1782951556,419430400,157290182,419389440,4
12288,4,5455961806.000000,5523001666.666666,1.907063,5436900736,4001869837,2567462464,603979776,226496973,603930624,4
14336,4,7561670965.000000,7624775700.000000,2.637179,7611331964,5446930412,3494533929,822083584,308286659,822026240,4
