n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,90245.000000,91091.341146,0.000031,156417,46611,20752,0,1539,24320,4
64,8,342704.000000,342177.343750,0.000117,340298,186524,82570,0,6162,97792,4
128,8,1319572.000000,1319500.000000,0.000455,1313088,746012,329196,0,24624,392192,4
256,8,4817992.000000,4839495.833333,0.001654,4823043,2981547,1312323,0,98408,1570816,4
512,8,17812665.000000,17920066.666667,0.006150,17831926,11928634,5247837,0,393437,6287360,4
1024,8,67529922.000000,70898233.333333,0.023639,68241810,47712488,20981533,0,1573323,25157632,4
2048,8,263907598.000000,267061966.666667,0.092691,266645970,190845814,83906524,0,6292378,100646912,4
4096,8,1068041783.000000,1066570700.000000,0.366822,1053776189,763380242,335592107,0,25167719,402620416,4
6144,8,2411644591.000000,2415226333.333333,0.833721,2379165989,1717599887,755053409,0,56625966,905920512,4
8192,8,4376584744.000000,4351548600.000000,1.505109,4299146903,3053511130,1342296849,0,100667081,1610547200,4
10240,8,6975059961.000000,6945463266.666667,2.391817,6974185568,4771107327,2097315756,0,157291091,2516500480,4
12288,8,10030118978.000000,10085863600.000000,3.494657,10156450224,6870370299,3020091881,0,226498066,3623780352,4
14336,8,13919597499.000000,13827171966.666666,4.794363,13917129068,9351348971,4110674254,0,308287901,4932386816,4
