n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,76053.000000,76183.528646,0.000026,77500,214799,82690,0,1037,131072,4
64,64,258500.000000,252790.885417,0.000087,252033,857782,329358,0,4136,524288,4
128,64,1003612.000000,1083905.208333,0.000344,1094854,3427877,1314240,0,16485,2097152,4
256,64,3684462.000000,3704145.833333,0.001280,3693511,13704200,5249843,0,65749,8388608,4
512,64,14673219.000000,14259541.666667,0.004941,14488169,54801288,20984262,0,262594,33554432,4
1024,64,57929907.000000,57499266.666667,0.020002,57659853,219179524,83912300,0,1049496,134217728,4
2048,64,275630906.000000,275558966.666667,0.102675,229382008,876658900,335591825,0,4196163,536870912,4
4096,64,1101409144.000000,1105921766.666667,0.378404,947126934,3506542128,1342277508,0,16780972,2147483648,4
6144,64,2837047583.000000,2709229300.000000,0.960791,2374396565,7889647454,3020054851,0,37754395,4831838208,4
8192,64,5901185814.000000,5873366133.333334,2.074904,5386370639,14025976850,5368925779,0,67116479,8589934592,4
10240,64,10292274744.000000,10358256733.333332,3.562484,9431384013,21915529079,8388889086,0,104867193,13421772800,4
12288,64,15768742208.000000,15621660066.666666,5.381872,14323853674,31558295648,12079936344,0,151006472,19327352832,4
14336,64,21534562924.000000,21717253200.000000,7.498706,19924708804,42954290323,16442081286,0,205534349,26306674688,4
