n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,2,50209.000000,50462.076823,0.000017,50867,18246,12678,2048,1536,1984,4
64,2,205438.000000,193303.125000,0.000068,322859,72363,49947,8192,6160,8064,4
128,2,799953.000000,795053.125000,0.000275,801130,288095,198208,32768,24607,32512,4
256,2,2864572.000000,2914560.416667,0.000932,2693431,1149251,789248,131072,98371,130560,4
512,2,9260301.000000,9279275.000000,0.003218,9785554,4593786,3152877,524288,393357,523264,4
1024,2,32532828.000000,32226250.000000,0.011059,31912714,18364283,12598920,2097152,1573107,2095104,4
2048,2,124013579.000000,124700000.000000,0.042536,122941647,73461097,50396022,8388608,6291955,8384512,4
4096,2,490640714.000000,484307733.333333,0.164786,472250356,293847186,201579726,33554432,25166788,33546240,4
6144,2,1092653338.000000,1093193666.666667,0.377820,1097569332,661125025,453517857,75497472,56624512,75485184,4
8192,2,2022261224.000000,2003531700.000000,0.692664,2003229151,1175479037,806394825,134217728,100665140,134201344,4
10240,2,3247381961.000000,3240764500.000000,1.113105,3226714172,1836419154,1259720552,209715200,157288682,209694720,4
12288,2,4787213019.000000,4762362600.000000,1.650774,4706957373,2644628347,1814177970,301989888,226495177,301965312,4
14336,2,6676115336.000000,6649490233.333333,2.277313,6577791689,3599395130,2469055719,411041792,308284499,411013120,4
