n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,53547.000000,58037.760417,0.000018,51813,20753,11156,4096,1533,3968
64,4,193824.000000,193895.963542,0.000067,191177,83010,44345,16384,6153,16128
128,4,797105.000000,870921.354167,0.000274,891421,329557,174393,65536,24604,65024
256,4,2577658.000000,2534237.500000,0.000880,2523567,1313659,692044,262144,98351,261120
512,4,8434236.000000,8491925.000000,0.002926,8406569,5250107,2761702,1048576,393301,1046528
1024,4,30065411.000000,29153700.000000,0.010395,29019664,20992978,11035464,4194304,1573002,4190208
2048,4,108263128.000000,108431966.666667,0.038036,108385266,83945142,44107243,16777216,6291659,16769024
4096,4,422177476.000000,421296533.333333,0.145061,418680746,335738917,176371442,67108864,25166131,67092480
6144,4,961555242.000000,959460166.666667,0.330035,947651392,755453934,396865097,150994944,56623525,150970368
8192,4,1729966164.000000,1741831833.333333,0.598904,1721902210,1342957653,705455708,268435456,100663801,268402688
10240,4,2863450275.000000,2857819500.000000,0.981982,2826086589,2098338702,1102231865,419430400,157286997,419389440
12288,4,4140385863.000000,4172199066.666667,1.436936,4138615888,3021707365,1587303875,603979776,226493090,603930624
14336,4,5832285062.000000,5808956166.666666,2.011704,5765120501,4112777669,2160385784,822083584,308282061,822026240
