n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,58746.000000,59477.376302,0.000020,122606,13844,8711,4096,1037,0
64,4,210836.000000,211937.890625,0.000073,211560,54847,34322,16384,4141,0
128,4,1014827.000000,994126.041667,0.000344,1296772,216493,134474,65536,16483,0
256,4,3724151.000000,3705837.500000,0.001278,3768297,858445,530537,262144,65764,0
512,4,13627892.000000,13731983.333333,0.004824,14087729,3418722,2107545,1048576,262601,0
1024,4,61158912.000000,63755533.333333,0.021116,60912089,13654543,8410738,4194304,1049501,0
2048,4,270481695.000000,271939766.666667,0.094929,240012462,54576893,33603566,16777216,4196111,0
4096,4,1091288647.000000,1090688066.666667,0.379425,978410911,218238688,134348994,67108864,16780830,0
6144,4,2479326241.000000,2470481966.666667,0.852766,2206058248,490958766,302209673,150994944,37754149,0
8192,4,4186417563.000000,4169504000.000000,1.449647,3725051793,872764737,537213240,268435456,67116041,0
10240,4,6966993717.000000,7010382666.666667,2.412690,6245240577,1363631282,839334368,419430400,104866514,0
12288,4,9936516490.000000,9952414300.000000,3.437249,8975156656,1963612722,1208627289,603979776,151005657,0
14336,4,14087493569.000000,14044027200.000000,4.855238,12799446597,2672597040,1644980048,822083584,205533408,0
