n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,70437.000000,68291.601562,0.000024,68582,38676,24983,12160,1533,0
64,8,322302.000000,327307.291667,0.000109,314628,154299,99246,48896,6157,0
128,8,1166812.000000,1167884.375000,0.000403,1278139,615827,395110,196096,24621,0
256,8,4498234.000000,4504425.000000,0.001557,4499782,2461020,1577210,785408,98402,0
512,8,16866197.000000,16410133.333333,0.005645,16370682,9836426,6299318,3143680,393428,0
1024,8,62178030.000000,61942066.666667,0.021389,61639796,39332039,25179908,12578816,1573315,0
2048,8,283222864.000000,284990733.333333,0.097857,282156869,157307222,100691402,50323456,6292364,0
4096,8,1073853180.000000,1080431733.333333,0.372110,1081182990,629212202,402734315,201310208,25167679,0
6144,8,2641972200.000000,2640128100.000000,0.915045,2650529860,1415657837,906071691,452960256,56625890,0
8192,8,4556218371.000000,4555609033.333334,1.573930,4536736094,2516708804,1610768179,805273600,100667025,0
10240,8,7377120823.000000,7378950433.333333,2.535810,7356401966,3932313719,2516772390,1258250240,157291089,0
12288,8,10594334220.000000,10572760066.666668,3.651478,10522685854,5662507492,3624119290,1811890176,226498026,0
14336,8,15127439679.000000,15149954766.666666,5.230912,15024805853,7707258288,4932776936,2466193408,308287944,0
