n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,44637.000000,44920.735677,0.000016,50697,12685,7543,4096,1046,0
64,4,147830.000000,149383.984375,0.000051,152684,50060,29533,16384,4143,0
128,4,582151.000000,581616.145833,0.000198,694776,198554,116536,65536,16482,0
256,4,2091445.000000,2091564.583333,0.000725,2142845,790769,462900,262144,65725,0
512,4,7325806.000000,7533837.500000,0.002474,8524268,3159120,1848020,1048576,262524,0
1024,4,29914428.000000,29470766.666667,0.010235,27741910,12616207,7372599,4194304,1049304,0
2048,4,142507624.000000,143806166.666667,0.049528,115810759,50440058,29467133,16777216,4195709,0
4096,4,564798200.000000,564820433.333333,0.195455,449698641,201670723,117781850,67108864,16780009,0
6144,4,1280140968.000000,1280053233.333333,0.441011,1014607998,453671245,264923459,150994944,37752842,0
8192,4,2336448703.000000,2311756266.666667,0.794080,1844510373,806433477,470883762,268435456,67114259,0
10240,4,3676161452.000000,3668903100.000000,1.266081,2961513849,1259978472,735683756,419430400,104864316,0
12288,4,5347856031.000000,5341185200.000000,1.843596,4375130784,1814960906,1059978195,603979776,151002935,0
14336,4,7341364674.000000,7298572100.000000,2.544491,6100834077,2469940428,1442326745,822083584,205530099,0
