n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,62139.000000,60993.457031,0.000021,196236,43236,17383,0,1533,24320
64,8,227750.000000,224723.567708,0.000077,225548,172635,68686,0,6157,97792
128,8,882814.000000,882491.145833,0.000317,973606,689363,272550,0,24621,392192
256,8,3060034.000000,3059197.916667,0.001060,3034273,2755548,1086330,0,98402,1570816
512,8,10380569.000000,10401575.000000,0.003587,10403495,11015306,4334518,0,393428,6287360
1024,8,38747344.000000,39763833.333333,0.018668,39351121,44049095,17318148,0,1573315,25157632
2048,8,145074385.000000,145632200.000000,0.050174,145324847,176178518,69239242,0,6292364,100646912
4096,8,583296246.000000,581891766.666667,0.200551,579888063,704703530,276915435,0,25167679,402620416
6144,8,1335368036.000000,1348463266.666667,0.463293,1347459226,1585517933,622971531,0,56625890,905920512
8192,8,2487298216.000000,2484588533.333333,0.852205,2466297292,2818686404,1107472179,0,100667025,1610547200
10240,8,4035750393.000000,4083002800.000000,1.390381,4020553999,4404157559,1730365990,0,157291089,2516500480
12288,8,6008706803.000000,6027040033.333334,2.074337,5950415667,6341966308,2491687930,0,226498026,3623780352
14336,8,8461832260.000000,8392752733.333333,2.896239,8330617006,8632080816,3391406056,0,308287944,4932386816
