n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,59893.000000,62738.932292,0.000021,132582,43236,17383,0,1533,24320
64,8,232194.000000,229632.421875,0.000080,329970,172635,68686,0,6157,97792
128,8,910553.000000,1019727.604167,0.000315,989031,689363,272550,0,24621,392192
256,8,3295810.000000,3101066.666667,0.001056,3374756,2755548,1086330,0,98402,1570816
512,8,10475433.000000,10478183.333333,0.003614,10454660,11015306,4334518,0,393428,6287360
1024,8,39283835.000000,39069766.666667,0.013467,38414636,44049095,17318148,0,1573315,25157632
2048,8,146191687.000000,146656866.666667,0.050513,146461374,176178518,69239242,0,6292364,100646912
4096,8,595002309.000000,594209033.333333,0.203603,588109573,704703530,276915435,0,25167679,402620416
6144,8,1368880069.000000,1353899800.000000,0.468451,1353369501,1585517933,622971531,0,56625890,905920512
8192,8,2506448975.000000,2510849966.666667,0.864119,2495813464,2818686404,1107472179,0,100667025,1610547200
10240,8,4068256300.000000,4076853833.333333,1.405185,4077609849,4404157559,1730365990,0,157291089,2516500480
12288,8,6096780016.000000,6022343000.000000,2.084257,6009560721,6341966308,2491687930,0,226498026,3623780352
14336,8,8396428599.000000,8418042666.666667,2.892639,8361328631,8632080816,3391406056,0,308287944,4932386816
