n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,271122.000000,267071.875000,0.000093,416585,6711,4092,2009,610,0
64,4,1040988.000000,1318775.000000,0.000361,1037871,26754,16378,8120,2256,0
128,4,4511650.000000,3583856.250000,0.001278,5528847,106753,65518,32625,8610,0
256,4,11532628.000000,11454033.333333,0.003813,11476426,426584,262134,130806,33644,0
512,4,39734108.000000,38290633.333333,0.013643,40107285,1705058,1048522,523746,132790,0
1024,4,150137379.000000,154686966.666667,0.053743,157545965,6818059,4194224,2096073,527762,0
2048,4,604187479.000000,606835633.333333,0.228764,589345985,27267327,16776943,8386401,2103983,0
4096,4,2725299195.000000,2745339133.333333,0.957447,2695416277,109061004,67108510,33550074,8402420,0
6144,4,7411384478.000000,6963993300.000000,2.382405,7000159229,245380221,150994317,75490896,18895008,0
8192,4,14184647784.000000,14233303433.333334,4.907645,14083293806,436225431,268434585,134208938,33581908,0
10240,4,25410683591.000000,26390589666.666668,9.142245,27106584609,681596538,419429275,209704181,52463082,0
12288,4,41482087606.000000,42673748433.333328,14.808963,42897289768,981493831,603978481,301976690,75538660,0
14336,4,56106311745.000000,58520277400.000000,20.192968,59838031368,1335916832,822081992,411026376,102808464,0
