n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,49193.000000,49590.755208,0.000017,49730,20753,11156,4096,1533,3968
64,4,190254.000000,193450.390625,0.000066,189527,83010,44345,16384,6153,16128
128,4,799575.000000,798874.479167,0.000276,897574,329557,174393,65536,24604,65024
256,4,2522377.000000,2734216.666667,0.000883,2514205,1313659,692044,262144,98351,261120
512,4,8463821.000000,8456641.666667,0.002923,8419821,5250107,2761702,1048576,393301,1046528
1024,4,29382094.000000,29008216.666667,0.010104,29004700,20992978,11035464,4194304,1573002,4190208
2048,4,108053874.000000,108400066.666667,0.037278,107551253,83945142,44107243,16777216,6291659,16769024
4096,4,421830007.000000,424168500.000000,0.145558,426453961,335738917,176371442,67108864,25166131,67092480
6144,4,971074724.000000,964317666.666667,0.333073,960835191,755453934,396865097,150994944,56623525,150970368
8192,4,1748026668.000000,1741061400.000000,0.604994,1741520308,1342957653,705455708,268435456,100663801,268402688
10240,4,2867847129.000000,2861423233.333333,0.981486,2887591510,2098338702,1102231865,419430400,157286997,419389440
12288,4,4219001751.000000,4197007600.000000,1.449402,4176636776,3021707365,1587303875,603979776,226493090,603930624
14336,4,5850172117.000000,5840494633.333334,2.031577,5828783837,4112777669,2160385784,822083584,308282061,822026240
