n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,84029.000000,65688.020833,0.000023,127113,0,0,0,0,0
64,20,300163.000000,232381.380208,0.000080,296693,0,0,0,0,0
128,20,1150986.000000,920251.562500,0.000317,1188541,0,0,0,0,0
256,20,4859205.000000,3673333.333333,0.001248,4681796,0,0,0,0,0
512,20,17330916.000000,13975100.000000,0.004874,17685834,0,0,0,0,0
1024,20,69353556.000000,56058933.333333,0.019352,71079356,0,0,0,0,0
2048,20,308639088.000000,247065500.000000,0.087729,290575784,0,0,0,0,0
4096,20,1250841684.000000,1003291733.333333,0.345562,1167554029,0,0,0,0,0
6144,20,2819934228.000000,2262580000.000000,0.780497,2644415764,0,0,0,0,0
