n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,78153.000000,78230.143229,0.000028,78802,30337,17904,9936,2497,0,4
64,4,341715.000000,341799.739583,0.000118,338749,115218,67837,37872,9509,0,4
128,4,1224518.000000,1279776.041667,0.000420,1323385,417861,244869,138320,34672,0,4
256,4,4377299.000000,4417908.333333,0.001530,4339035,1597963,934048,530992,132923,0,4
512,4,15943670.000000,15895866.666667,0.005545,15515174,6393355,3733834,2127344,532177,0,4
1024,4,58025945.000000,57449000.000000,0.019963,58057969,25246389,14738759,8405584,2102046,0,4
2048,4,252705226.000000,251696800.000000,0.087403,250120287,101213462,59071395,33712672,8429395,0,4
4096,4,1014643686.000000,1031849000.000000,0.352651,1011672443,404442901,236017406,134738512,33686983,0,4
6144,4,2354314443.000000,2363318266.666667,0.802978,2332063613,907178526,529404133,302216720,75557673,0,4
8192,4,4337089113.000000,4356993833.333334,1.497801,4322345591,1614491814,942134752,537881968,134475094,0,4
10240,4,6686791850.000000,6679701466.666667,2.315187,6753287753,2516787342,1468648825,838506240,209632277,0,4
12288,4,10364659537.000000,10341495700.000000,3.549754,10230440963,3630931333,2118830955,1209674848,302425530,0,4
14336,4,13239019892.000000,13271411133.333334,4.576139,13189264744,4938221318,2881652232,1645248960,411320126,0,4
