n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,92076.000000,92732.031250,0.000034,135125,64089,42572,20480,1037,0,4
64,20,337846.000000,325577.864583,0.000183,304152,255242,169192,81920,4130,0,4
128,20,1442559.000000,2006437.500000,0.000537,2093811,1018338,674201,327680,16457,0,4
256,20,5780873.000000,5626845.833333,0.001960,5163233,4068316,2691894,1310720,65702,0,4
512,20,29276858.000000,22850550.000000,0.007878,21452639,16262917,10757549,5242880,262488,0,4
1024,20,91486773.000000,92523533.333333,0.031469,83851448,65035021,43014208,20971520,1049293,0,4
2048,20,396327224.000000,398385566.666667,0.138870,333506689,260104166,172022278,83886080,4195808,0,4
4096,20,1584403864.000000,1607237033.333333,0.546442,1320412541,1040291546,687966800,335544320,16780426,0,4
6144,20,3550127307.000000,3629030033.333333,1.234074,3136457316,2340625505,1547897331,754974720,37753454,0,4
8192,20,6438357956.000000,6393763400.000000,2.196753,5587022126,4161024525,2751731997,1342177280,67115248,0,4
10240,20,10200910022.000000,10320315066.666668,3.551489,8830871371,6501671863,4299654722,2097152000,104865141,0,4
