n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,41942.000000,42432.324219,0.000015,42176,12573,7428,4096,1049,0,4
64,4,127135.000000,125530.729167,0.000042,212302,50029,29507,16384,4138,0,4
128,4,455561.000000,447672.395833,0.000154,442984,198509,116492,65536,16481,0,4
256,4,1578538.000000,1610376.041667,0.000574,2209555,791533,463670,262144,65719,0,4
512,4,5762047.000000,5423000.000000,0.002388,5424215,3158667,1847567,1048576,262524,0,4
1024,4,22059526.000000,22241066.666667,0.008138,22358289,12616228,7372630,4194304,1049294,0,4
2048,4,111917960.000000,116562600.000000,0.040650,85659238,50411047,29438105,16777216,4195726,0,4
4096,4,456639113.000000,457738900.000000,0.156986,346377380,201701972,117813122,67108864,16779986,0,4
6144,4,959633896.000000,1034664900.000000,0.332492,747831421,453748727,265000980,150994944,37752803,0,4
8192,4,1745212769.000000,1754881833.333333,0.602576,1363624189,806524446,470974743,268435456,67114247,0,4
10240,4,3007430219.000000,2870491533.333333,0.969624,2194877748,1260171731,735877162,419430400,104864169,0,4
12288,4,4064757276.000000,4040524566.666667,1.392348,3194529264,1814782361,1059799809,603979776,151002776,0,4
14336,4,5623670807.000000,5538217000.000000,1.924878,4394773136,2469783215,1442169688,822083584,205529943,0,4
