n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,49847.000000,57871.614583,0.000017,114581,20684,11080,4096,1540,3968,4
64,4,181243.000000,187080.208333,0.000063,177277,82446,43779,16384,6155,16128,4
128,4,777404.000000,760086.979167,0.000254,897999,328679,173526,65536,24593,65024,4
256,4,2428112.000000,2393829.166667,0.000827,2444351,1317290,695701,262144,98325,261120,4
512,4,7770465.000000,8081333.333333,0.002702,7910553,5258693,2770330,1048576,393259,1046528,4
1024,4,26901323.000000,27242600.000000,0.009421,27308311,21049053,11091620,4194304,1572921,4190208,4
2048,4,102222457.000000,101335666.666667,0.035400,102441472,84180620,44342812,16777216,6291568,16769024,4
4096,4,391770048.000000,392153466.666667,0.134894,386865768,336645122,177277769,67108864,25166009,67092480,4
6144,4,923018128.000000,908487833.333333,0.312959,899636986,757467880,398879254,150994944,56623314,150970368,4
8192,4,1681272544.000000,1684874866.666667,0.584571,1685609464,1346899748,709398054,268435456,100663550,268402688,4
10240,4,2694397849.000000,2678485433.333333,0.927937,2675080958,2104828837,1108722351,419430400,157286646,419389440,4
12288,4,3994016213.000000,3989802600.000000,1.384902,4035696284,3030988277,1596585129,603979776,226492748,603930624,4
14336,4,5551279006.000000,5546094366.666666,1.950075,5552851521,4125429428,2173037870,822083584,308281734,822026240,4
