n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,90196.000000,89054.166667,0.000032,157203,63112,41595,20480,1037,0,4
64,20,330614.000000,332933.593750,0.000115,330373,251244,165183,81920,4141,0,4
128,20,1473414.000000,1537604.166667,0.000501,1573918,1002469,658296,327680,16493,0,4
256,20,6251467.000000,6264845.833333,0.002153,6391806,4004210,2627721,1310720,65769,0,4
512,20,25154629.000000,24991716.666667,0.008692,26010556,16004032,10498523,5242880,262629,0,4
1024,20,99378746.000000,96802000.000000,0.033323,95778573,63989769,41968695,20971520,1049554,0,4
2048,20,416032898.000000,421351633.333333,0.146068,387593719,255902348,167819975,83886080,4196293,0,4
4096,20,1682458200.000000,1706995100.000000,0.579312,1564077303,1023516192,671190650,335544320,16781222,0,4
6144,20,3739115734.000000,3750044133.333333,1.293997,3459631537,2302824778,1510095292,754974720,37754766,0,4
8192,20,6501796181.000000,6449052866.666667,2.249685,5948494512,4093856487,2684562305,1342177280,67116902,0,4
10240,20,10672700118.000000,10720680366.666668,3.733438,9956073861,6396578711,4194559050,2097152000,104867661,0,4
12288,20,15973981144.000000,15936699633.333334,5.472700,14814501480,9211014063,6040108126,3019898880,151007057,0,4
14336,20,21861096090.000000,21614832933.333336,7.490334,20363636542,12537156156,8221203244,4110417920,205534992,0,4
