n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,48554.000000,48352.213542,0.000017,120120,20895,11293,4096,1538,3968,4
64,4,188821.000000,188692.578125,0.000065,186916,82878,44210,16384,6156,16128,4
128,4,995456.000000,783619.270833,0.000264,764869,329094,173928,65536,24606,65024,4
256,4,2406826.000000,2414975.000000,0.000822,2425304,1314207,692595,262144,98348,261120,4
512,4,8129445.000000,8128337.500000,0.002791,8121047,5251831,2763434,1048576,393293,1046528,4
1024,4,28043285.000000,29528766.666667,0.009704,27842285,20995845,11038369,4194304,1572964,4190208,4
2048,4,103542160.000000,103631500.000000,0.041278,108087575,83959675,44121792,16777216,6291643,16769024,4
4096,4,401280849.000000,396443533.333333,0.136564,393720643,335856112,176488695,67108864,25166073,67092480,4
6144,4,934806145.000000,915167500.000000,0.314757,914855226,755622424,397033631,150994944,56623481,150970368,4
8192,4,1683286411.000000,1674976200.000000,0.576403,1653092498,1343372112,705870197,268435456,100663771,268402688,4
10240,4,2796072845.000000,2739763400.000000,0.951611,2725603223,2098956958,1102850239,419430400,157286879,419389440,4
12288,4,4128966137.000000,4238425400.000000,1.420294,4064575284,3022395130,1587991715,603979776,226493015,603930624,4
14336,4,5621250950.000000,5641779866.666666,1.913935,5501131430,4114130531,2161738675,822083584,308282032,822026240,4
