n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,58224.000000,59220.605469,0.000022,123886,13844,8711,4096,1037,0,4
64,4,217874.000000,224957.682292,0.000076,215559,54847,34322,16384,4141,0,4
128,4,994898.000000,997146.875000,0.000364,1116871,216493,134474,65536,16483,0,4
256,4,3572629.000000,3772295.833333,0.001234,3555571,858445,530537,262144,65764,0,4
512,4,14265353.000000,13763641.666667,0.004694,13580841,3418722,2107545,1048576,262601,0,4
1024,4,61178458.000000,61009233.333333,0.021126,60607386,13654543,8410738,4194304,1049501,0,4
2048,4,269101546.000000,270718866.666667,0.095164,251943836,54576893,33603566,16777216,4196111,0,4
4096,4,1096779033.000000,1087928233.333333,0.375133,973760912,218238688,134348994,67108864,16780830,0,4
6144,4,2485095298.000000,2519476500.000000,0.862508,2233983416,490958766,302209673,150994944,37754149,0,4
8192,4,4225354549.000000,4242053300.000000,1.460328,3785487352,872764737,537213240,268435456,67116041,0,4
10240,4,7092899063.000000,7182150633.333333,2.457883,6438070339,1363631282,839334368,419430400,104866514,0,4
12288,4,10137430404.000000,10115253166.666668,3.479665,9143820434,1963612722,1208627289,603979776,151005657,0,4
14336,4,14157272470.000000,14196762466.666666,4.919485,13009474861,2672597040,1644980048,822083584,205533408,0,4
