n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,46614.000000,46453.808594,0.000017,47863,12685,7543,4096,1046,0,4
64,4,157933.000000,157615.755208,0.000055,155963,50060,29533,16384,4143,0,4
128,4,608628.000000,614346.875000,0.000212,701797,198554,116536,65536,16482,0,4
256,4,2211341.000000,2214512.500000,0.000770,2158527,790769,462900,262144,65725,0,4
512,4,8456511.000000,8129787.500000,0.002630,8184530,3159120,1848020,1048576,262524,0,4
1024,4,30376330.000000,30351883.333333,0.010463,29116738,12616207,7372599,4194304,1049304,0,4
2048,4,149619825.000000,144805700.000000,0.050045,116422549,50440058,29467133,16777216,4195709,0,4
4096,4,567394318.000000,569578366.666667,0.198389,457152709,201670723,117781850,67108864,16780009,0,4
6144,4,1296786755.000000,1291436700.000000,0.448678,1043572705,453671245,264923459,150994944,37752842,0,4
8192,4,2331934147.000000,2333194033.333333,0.801802,1883714875,806433477,470883762,268435456,67114259,0,4
10240,4,3756221326.000000,3716272666.666667,1.290944,3135036691,1259978472,735683756,419430400,104864316,0,4
12288,4,5344159894.000000,5329337733.333334,1.871248,4493382921,1814960906,1059978195,603979776,151002935,0,4
14336,4,7483557793.000000,7455561666.666667,2.580862,6262729110,2469940428,1442326745,822083584,205530099,0,4
