n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,96274.000000,103727.864583,0.000032,140908,64089,42572,20480,1037,0,4
64,20,339311.000000,352931.510417,0.000117,305136,255242,169192,81920,4130,0,4
128,20,1348188.000000,1520385.416667,0.000456,1223374,1018338,674201,327680,16457,0,4
256,20,5555095.000000,5624308.333333,0.001878,5173001,4068316,2691894,1310720,65702,0,4
512,20,21271185.000000,20623833.333333,0.006950,19209976,16262917,10757549,5242880,262488,0,4
1024,20,83291151.000000,83532566.666667,0.028990,77702306,65035021,43014208,20971520,1049293,0,4
2048,20,362460221.000000,363202766.666667,0.124318,297404097,260104166,172022278,83886080,4195808,0,4
4096,20,1535406150.000000,1456975466.666667,0.487895,1188326922,1040291546,687966800,335544320,16780426,0,4
6144,20,3237782691.000000,3237991133.333333,1.110546,2694351798,2340625505,1547897331,754974720,37753454,0,4
8192,20,5780727547.000000,5784814633.333334,2.006611,4872027836,4161024525,2751731997,1342177280,67115248,0,4
10240,20,9235822405.000000,9023977366.666668,3.108975,7684147875,6501671863,4299654722,2097152000,104865141,0,4
