n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,42845.000000,42750.455729,0.000015,44401,12686,7543,4096,1047,0,4
64,4,131429.000000,131191.015625,0.000045,131716,50028,29499,16384,4145,0,4
128,4,467433.000000,460442.968750,0.000158,553329,198800,116784,65536,16480,0,4
256,4,1623135.000000,1618139.583333,0.000564,1594726,792568,464714,262144,65710,0,4
512,4,5444165.000000,5516283.333333,0.001897,5342596,3160601,1849526,1048576,262499,0,4
1024,4,21650283.000000,21574066.666667,0.007516,19881373,12618957,7375370,4194304,1049283,0,4
2048,4,111748909.000000,112794533.333333,0.038926,84692494,50434962,29462058,16777216,4195688,0,4
4096,4,427942337.000000,429084000.000000,0.147573,322089326,201709959,117821244,67108864,16779851,0,4
6144,4,953108905.000000,959720200.000000,0.329231,734406172,453776795,265029199,150994944,37752652,0,4
8192,4,1737457057.000000,1772373666.666667,0.604567,1366215437,806678572,471129033,268435456,67114083,0,4
10240,4,2767996166.000000,2795312900.000000,0.968337,2179243720,1260221956,735927548,419430400,104864008,0,4
12288,4,4051484662.000000,4047593800.000000,1.380572,3157269803,1815067050,1060084660,603979776,151002614,0,4
14336,4,5532290018.000000,5540528300.000000,1.983862,4430698492,2470285031,1442671676,822083584,205529771,0,4
