n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,128,230782.000000,234258.072917,0.000083,298184,590447,199794,0,1533,389120,4
64,128,879817.000000,888034.375000,0.000305,880402,2372944,802115,0,6157,1564672,4
128,128,3499809.000000,3479033.333333,0.001202,3558812,9513671,3213979,0,24620,6275072,4
256,128,13273672.000000,13347733.333333,0.004632,13338424,38099095,12867629,0,98410,25133056,4
512,128,52931496.000000,52814800.000000,0.018275,52499517,152481491,51490288,0,393443,100597760,4
1024,128,210694840.000000,215873100.000000,0.073936,212377689,610103141,206007681,0,1573348,402522112,4
2048,128,877237936.000000,942674966.666667,0.312911,888198923,2440741764,824098738,0,6292434,1610350592,4
4096,128,4307190963.000000,4147462066.666667,1.438137,4193411565,9763665364,3296570877,0,25167831,6441926656,4
6144,128,11215243196.000000,11034822866.666668,4.016154,11239393991,21968735293,7417380996,0,56626105,14494728192,4
8192,128,20620522761.000000,20668357033.333336,7.175422,20594939789,39055983567,13186561060,0,100667307,25768755200,4
10240,128,32548395610.000000,32477332000.000000,11.130591,32136400123,61025398345,20604099236,0,157291429,40264007680,4
12288,128,47451194213.000000,47496650466.666672,16.400976,46603732454,87877034940,29670050833,0,226498475,57980485632,4
14336,128,66464845476.000000,66108248233.333336,22.716898,67534065517,119610790945,40384313474,0,308288415,78918189056,4
