n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,48528.000000,47987.825521,0.000017,48286,20753,11156,4096,1533,3968,4
64,4,183759.000000,182786.848958,0.000063,184659,83010,44345,16384,6153,16128,4
128,4,778793.000000,774768.229167,0.000287,879445,329557,174393,65536,24604,65024,4
256,4,2485106.000000,2471766.666667,0.000857,2476954,1313659,692044,262144,98351,261120,4
512,4,8222945.000000,8138487.500000,0.002902,8224191,5250107,2761702,1048576,393301,1046528,4
1024,4,27967919.000000,28249866.666667,0.009638,28333552,20992978,11035464,4194304,1573002,4190208,4
2048,4,105671949.000000,103766833.333333,0.035880,103426107,83945142,44107243,16777216,6291659,16769024,4
4096,4,408176914.000000,407217033.333333,0.141012,400522253,335738917,176371442,67108864,25166131,67092480,4
6144,4,916172707.000000,921181133.333333,0.319927,904339265,755453934,396865097,150994944,56623525,150970368,4
8192,4,1702121756.000000,1721034000.000000,0.601617,1746324713,1342957653,705455708,268435456,100663801,268402688,4
10240,4,2783883062.000000,2788147966.666667,0.966499,2776786044,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,4101619688.000000,4067604766.666667,1.397807,4034624413,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,5715940648.000000,5677418933.333334,1.965678,5668158353,4112777669,2160385784,822083584,308282061,822026240,4
