n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,126973.000000,128917.838542,0.000044,195570,298706,102613,0,1533,194560,4
64,64,488973.000000,495537.500000,0.000169,487736,1199676,411183,0,6157,782336,4
128,64,1918545.000000,1955627.083333,0.000641,1931262,4807969,1645812,0,24621,3137536,4
256,64,7043065.000000,6965920.833333,0.002393,7068482,19249674,6584737,0,98409,12566528,4
512,64,26341516.000000,26520016.666667,0.009148,26315003,77036349,26344024,0,393445,50298880,4
1024,64,109767445.000000,109885833.333333,0.037868,106863306,308212676,105378273,0,1573347,201261056,4
2048,64,445013004.000000,454358466.666667,0.154686,446399486,1232987832,421520101,0,6292435,805175296,4
4096,64,1790670762.000000,1730694866.666667,0.616673,1721083547,4932220369,1686089220,0,25167821,3220963328,4
6144,64,4225474067.000000,4261996600.000000,1.525167,4483291393,11097709642,3793719435,0,56626111,7247364096,4
8192,64,9212618345.000000,9206381566.666668,3.193134,8845516575,19729471684,6744426758,0,100667326,12884377600,4
10240,64,16273010497.000000,16328972000.000000,5.405075,15948777387,30827413485,10538118217,0,157291428,20132003840,4
12288,64,25026779010.000000,25124061066.666668,9.119720,26023018988,44391696842,15174955572,0,226498454,28990242816,4
14336,64,36531788215.000000,35451723766.666672,12.460258,35378548011,60422202051,20654819122,0,308288401,39459094528,4
