n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,48906.000000,55802.343750,0.000017,154337,20753,11156,4096,1533,3968,4
64,4,223061.000000,182137.369792,0.000063,183196,83010,44345,16384,6153,16128,4
128,4,782211.000000,821138.020833,0.000270,913248,329557,174393,65536,24604,65024,4
256,4,2486240.000000,2463127.083333,0.000851,2613968,1313659,692044,262144,98351,261120,4
512,4,8294692.000000,8289650.000000,0.002893,8513193,5250107,2761702,1048576,393301,1046528,4
1024,4,28264680.000000,28761716.666667,0.009677,27631890,20992978,11035464,4194304,1573002,4190208,4
2048,4,104961913.000000,103450733.333333,0.036043,105371141,83945142,44107243,16777216,6291659,16769024,4
4096,4,401795222.000000,404386633.333333,0.139304,400899324,335738917,176371442,67108864,25166131,67092480,4
6144,4,930994762.000000,923861700.000000,0.318226,920713551,755453934,396865097,150994944,56623525,150970368,4
8192,4,1708250858.000000,1787507800.000000,0.592891,1719491160,1342957653,705455708,268435456,100663801,268402688,4
10240,4,2710152785.000000,2747130366.666667,0.940114,2695249931,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,4068305725.000000,4089655400.000000,1.402093,4055603100,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,5729633191.000000,5706456633.333334,2.013233,5612051148,4112777669,2160385784,822083584,308282061,822026240,4
