n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,47004.000000,48712.825521,0.000016,47999,20753,11156,4096,1533,3968,4
64,4,184922.000000,178240.494792,0.000062,176365,83010,44345,16384,6153,16128,4
128,4,814175.000000,883019.791667,0.000268,909038,329557,174393,65536,24604,65024,4
256,4,2459844.000000,2466087.500000,0.000864,2466858,1313659,692044,262144,98351,261120,4
512,4,8400647.000000,8350550.000000,0.002878,8221643,5250107,2761702,1048576,393301,1046528,4
1024,4,27943452.000000,28814883.333333,0.009939,28386865,20992978,11035464,4194304,1573002,4190208,4
2048,4,107129190.000000,108015333.333333,0.036435,110191393,83945142,44107243,16777216,6291659,16769024,4
4096,4,404126677.000000,408095733.333333,0.138786,401673190,335738917,176371442,67108864,25166131,67092480,4
6144,4,936225956.000000,952000400.000000,0.322031,964465124,755453934,396865097,150994944,56623525,150970368,4
8192,4,1701685490.000000,1693421166.666667,0.585796,1718566256,1342957653,705455708,268435456,100663801,268402688,4
10240,4,2797763728.000000,2814089433.333333,0.963289,2788158620,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,4150814718.000000,4183019933.333333,1.429322,4096399781,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,5763689757.000000,5726181466.666666,1.999067,5731077089,4112777669,2160385784,822083584,308282061,822026240,4
