n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,47522.000000,47498.828125,0.000017,48338,12685,7543,4096,1046,0,4
64,4,158614.000000,158729.687500,0.000054,156402,50060,29533,16384,4143,0,4
128,4,620288.000000,605088.020833,0.000208,759523,198554,116536,65536,16482,0,4
256,4,2199122.000000,2180618.750000,0.000766,2154283,790769,462900,262144,65725,0,4
512,4,8085230.000000,7936937.500000,0.002645,8233104,3159120,1848020,1048576,262524,0,4
1024,4,31183526.000000,30657833.333333,0.010731,29363738,12616207,7372599,4194304,1049304,0,4
2048,4,149842091.000000,145832300.000000,0.050948,118838954,50440058,29467133,16777216,4195709,0,4
4096,4,578010793.000000,574659166.666667,0.199884,455090560,201670723,117781850,67108864,16780009,0,4
6144,4,1273022782.000000,1276163366.666667,0.443879,1044256625,453671245,264923459,150994944,37752842,0,4
8192,4,2328169909.000000,2322220433.333333,0.802347,1887945517,806433477,470883762,268435456,67114259,0,4
10240,4,3723144245.000000,3767119333.333333,1.289772,3058379268,1259978472,735683756,419430400,104864316,0,4
12288,4,5331091895.000000,5390971433.333334,1.851685,4512057679,1814960906,1059978195,603979776,151002935,0,4
14336,4,7481152542.000000,7499009466.666667,2.587240,6249952853,2469940428,1442326745,822083584,205530099,0,4
