n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,60476.000000,59885.188802,0.000021,153044,20292,12679,6080,1533,0,4
64,4,252132.000000,251846.875000,0.000090,249429,81055,50450,24448,6157,0,4
128,4,1123847.000000,1124021.875000,0.000388,1128063,322157,199498,98048,24611,0,4
256,4,3926942.000000,3928472.916667,0.001356,3956076,1282765,791657,392704,98404,0,4
512,4,14311758.000000,14252050.000000,0.004947,14203201,5119330,3154073,1571840,393417,0,4
1024,4,60741592.000000,60778200.000000,0.021009,60540449,20463631,12600946,6289408,1573277,0,4
2048,4,234972799.000000,234631266.666667,0.080753,232503544,81826557,50372590,25161728,6292239,0,4
4096,4,927788135.000000,928367333.333333,0.322021,925219486,327263968,201441474,100655104,25167390,0,4
6144,4,2135518481.000000,2135320266.666667,0.737106,2122616201,736285614,453180041,226480128,56625445,0,4
8192,4,3599610674.000000,3579317266.666667,1.237423,3600154902,1308919105,805615928,402636800,100666377,0,4
10240,4,5986592041.000000,6015078500.000000,2.073151,6013415469,2045139122,1258723808,629125120,157290194,0,4
12288,4,8574384218.000000,8583119366.666667,2.956319,8517135630,2944999986,1812557913,905945088,226496985,0,4
14336,4,12210940448.000000,12215537566.666666,4.239361,12126700943,4008389680,2467006288,1233096704,308286688,0,4
