n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,49397.000000,52281.184896,0.000016,135691,20836,11233,4096,1539,3968,4
64,4,180448.000000,181876.822917,0.000062,181115,82454,43783,16384,6159,16128,4
128,4,772566.000000,788739.583333,0.000278,776761,328913,173751,65536,24602,65024,4
256,4,2522256.000000,2511822.916667,0.000861,2552143,1313250,691646,262144,98340,261120,4
512,4,8133474.000000,8284091.666667,0.002851,8171049,5254639,2766253,1048576,393282,1046528,4
1024,4,27793836.000000,27925550.000000,0.009666,27462469,20993407,11035929,4194304,1572966,4190208,4
2048,4,102142311.000000,101642100.000000,0.034699,99635538,83981691,44143847,16777216,6291604,16769024,4
4096,4,399806286.000000,396902700.000000,0.136085,390169512,335934359,176566975,67108864,25166040,67092480,4
6144,4,912967076.000000,922994600.000000,0.317209,893710555,755912283,397323535,150994944,56623436,150970368,4
8192,4,1664916119.000000,1665225433.333333,0.577984,1671933879,1343737520,706235718,268435456,100663658,268402688,4
10240,4,2739497315.000000,2756765133.333333,0.946672,2728233124,2099611263,1103504530,419430400,157286893,419389440,4
12288,4,4074448457.000000,4041122933.333333,1.418212,4240874551,3023374568,1588971205,603979776,226492963,603930624,4
14336,4,5720727427.000000,5745490633.333334,1.955306,5603849333,4115023541,2162631824,822083584,308281893,822026240,4
