n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,41206.000000,40009.049479,0.000014,40526,12589,7449,4096,1044,0,4
64,4,127611.000000,127847.330729,0.000043,124301,49845,29318,16384,4143,0,4
128,4,463253.000000,463071.093750,0.000161,581489,199128,117122,65536,16470,0,4
256,4,1631049.000000,1636536.458333,0.000565,1613024,791539,463680,262144,65715,0,4
512,4,5601549.000000,5583345.833333,0.001918,5380992,3162011,1850952,1048576,262483,0,4
1024,4,22314112.000000,22278766.666667,0.007403,20233731,12621297,7377713,4194304,1049280,0,4
2048,4,111975041.000000,111644200.000000,0.038504,82866296,50441666,29468794,16777216,4195656,0,4
4096,4,424842469.000000,428404433.333333,0.147120,319362478,201655253,117766550,67108864,16779839,0,4
6144,4,955452685.000000,966082800.000000,0.330737,739360214,453789768,265042221,150994944,37752603,0,4
8192,4,1784665026.000000,1738581900.000000,0.606115,1368391655,806956339,471406965,268435456,67113918,0,4
10240,4,2786824087.000000,2762295433.333333,0.965709,2182952322,1260639153,736344860,419430400,104863893,0,4
12288,4,3987558995.000000,3976470333.333333,1.373801,3141209944,1815087600,1060105413,603979776,151002411,0,4
14336,4,5567259427.000000,5438068400.000000,1.910673,4352668107,2470807440,1443194311,822083584,205529545,0,4
