n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,41776.000000,41878.190104,0.000015,42380,12700,7560,4096,1044,0,4
64,4,123720.000000,125557.161458,0.000044,124441,49849,29319,16384,4146,0,4
128,4,466781.000000,463735.677083,0.000157,560952,198614,116598,65536,16480,0,4
256,4,1584402.000000,1582010.416667,0.000544,1569245,791904,464043,262144,65717,0,4
512,4,5439316.000000,5452120.833333,0.001924,5372349,3157869,1846787,1048576,262506,0,4
1024,4,21669143.000000,21741783.333333,0.007469,20131619,12613684,7370093,4194304,1049287,0,4
2048,4,112060475.000000,112512266.666667,0.038799,83236497,50452559,29479636,16777216,4195707,0,4
4096,4,435547278.000000,444941200.000000,0.149205,321430833,201644043,117755248,67108864,16779931,0,4
6144,4,979290724.000000,974448333.333333,0.332828,750369148,453828336,265080685,150994944,37752707,0,4
8192,4,1745747519.000000,1732622400.000000,0.602009,1348138680,806660407,471110796,268435456,67114155,0,4
10240,4,2754857494.000000,2842450466.666667,0.962463,2167601517,1260325882,736031398,419430400,104864084,0,4
12288,4,4251202925.000000,4091645766.666667,1.493847,3356717962,1814704081,1059721594,603979776,151002711,0,4
14336,4,5603412325.000000,5590249766.666666,1.923847,4463100950,2469926681,1442313162,822083584,205529935,0,4
