n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,94190.000000,96051.171875,0.000033,145238,64089,42572,20480,1037,0,4
64,20,338847.000000,388735.937500,0.000117,303441,255242,169192,81920,4130,0,4
128,20,1364559.000000,1377741.666667,0.000464,1253245,1018338,674201,327680,16457,0,4
256,20,5141312.000000,5027512.500000,0.001749,4830686,4068316,2691894,1310720,65702,0,4
512,20,19666311.000000,19797816.666667,0.006829,18164057,16262917,10757549,5242880,262488,0,4
1024,20,83264384.000000,80295200.000000,0.027610,73996930,65035021,43014208,20971520,1049293,0,4
2048,20,358280935.000000,359289700.000000,0.124218,296445006,260104166,172022278,83886080,4195808,0,4
4096,20,1449080255.000000,1441218800.000000,0.487136,1180047545,1040291546,687966800,335544320,16780426,0,4
6144,20,3209765017.000000,3254378066.666667,1.108198,2671618633,2340625505,1547897331,754974720,37753454,0,4
8192,20,5773047129.000000,5756558000.000000,1.982757,4848753242,4161024525,2751731997,1342177280,67115248,0,4
10240,20,9085316233.000000,9043438300.000000,3.108981,7586438539,6501671863,4299654722,2097152000,104865141,0,4
