n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,96311.000000,96096.484375,0.000034,90325,64089,42572,20480,1037,0,4
64,20,329865.000000,330063.802083,0.000114,303058,255242,169192,81920,4130,0,4
128,20,1328500.000000,1323940.625000,0.000459,1345436,1018338,674201,327680,16457,0,4
256,20,5179703.000000,5157770.833333,0.001778,4930029,4068316,2691894,1310720,65702,0,4
512,20,20446435.000000,20364283.333333,0.006950,18733807,16262917,10757549,5242880,262488,0,4
1024,20,79909790.000000,81200000.000000,0.027730,74246160,65035021,43014208,20971520,1049293,0,4
2048,20,360157728.000000,359048033.333333,0.122195,296080225,260104166,172022278,83886080,4195808,0,4
4096,20,1409937814.000000,1410940866.666667,0.489164,1194503512,1040291546,687966800,335544320,16780426,0,4
6144,20,3192092833.000000,3219435000.000000,1.113882,2683739511,2340625505,1547897331,754974720,37753454,0,4
8192,20,5788703717.000000,5815147666.666666,2.065195,4871063430,4161024525,2751731997,1342177280,67115248,0,4
10240,20,9118170749.000000,9129981066.666668,3.837105,7725090624,6501671863,4299654722,2097152000,104865141,0,4
