n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,71378.000000,70693.164062,0.000025,72055,30904,20475,9920,509,0,4
64,20,268126.000000,267811.979167,0.000092,264893,124364,81983,40320,2061,0,4
128,20,1208432.000000,1209451.041667,0.000419,1333781,498853,328056,162560,8237,0,4
256,20,5069569.000000,5066541.666667,0.001863,5009099,1997554,1311881,652800,32873,0,4
512,20,19085132.000000,18814716.666667,0.006537,19034382,7993024,5245403,2616320,131301,0,4
1024,20,79200092.000000,79818633.333333,0.027477,79622996,31976969,20976695,10475520,524754,0,4
2048,20,355222807.000000,360157766.666667,0.124578,353155686,127913612,83892935,41922560,2098117,0,4
4096,20,1581661353.000000,1599019400.000000,0.537803,1475402859,511686176,335564410,167731200,8390566,0,4
6144,20,3605065429.000000,3559134233.333333,1.247316,3469100931,1151300938,754997692,377425920,18877326,0,4
8192,20,6504971401.000000,6511745066.666667,2.212012,6242363306,2046786279,1342221185,671006720,33558374,0,4
10240,20,11179367518.000000,11058300300.000000,3.944040,10909539163,3198109591,2097202250,1048473600,52433741,0,4
12288,20,16454919686.000000,16769403700.000000,5.821702,16851801786,4605293487,3019963486,1509826560,75503441,0,4
14336,20,22676647024.000000,23260024200.000000,8.163119,21800835355,6268331580,4110498604,2055065600,102767376,0,4
