n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,82554.000000,79057.096354,0.000039,133526,28298,14596,0,1542,12160,4
64,4,275067.000000,275122.395833,0.000094,384996,112845,57786,0,6163,48896,4
128,4,1140280.000000,1139186.458333,0.000395,1135446,451256,230538,0,24622,196096,4
256,4,4321158.000000,4540916.666667,0.001488,4278188,1803446,919641,0,98397,785408,4
512,4,14729073.000000,14984541.666667,0.005116,14602622,7212528,3675431,0,393417,3143680,4
1024,4,57247121.000000,57220866.666667,0.019646,56736214,28842421,14690325,0,1573280,12578816,4
2048,4,202896760.000000,203050266.666667,0.070210,201843505,115381674,58765989,0,6292229,50323456,4
4096,4,825047390.000000,831305300.000000,0.287730,816028690,461492120,235014555,0,25167357,201310208,4
6144,4,1799615580.000000,1797479933.333333,0.621677,1762999655,1038311980,528726352,0,56625372,452960256,4
8192,4,3298712251.000000,3289635300.000000,1.145560,3279515338,1845946979,940007041,0,100666338,805273600,4
10240,4,5304495647.000000,5297053966.666666,1.840748,5259689158,2884094600,1468554237,0,157290123,1258250240,4
12288,4,8208710275.000000,8233109666.666667,2.849376,8197752890,4153246022,2114858934,0,226496912,1811890176,4
14336,4,10506099893.000000,10517032700.000000,3.619064,10460488408,5653180900,2878700903,0,308286589,2466193408,4
