n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,95985.000000,95749.088542,0.000033,124554,214404,82288,0,1044,131072,4
64,64,301514.000000,302672.395833,0.000105,299692,857072,328640,0,4144,524288,4
128,64,1062171.000000,1062970.833333,0.000364,1036188,3426371,1312728,0,16491,2097152,4
256,64,4027347.000000,4022843.750000,0.001381,3990314,13701934,5247559,0,65767,8388608,4
512,64,15108731.000000,14811750.000000,0.005047,14802610,54798648,20981585,0,262631,33554432,4
1024,64,62769726.000000,63046966.666667,0.021660,62241549,219172256,83904966,0,1049562,134217728,4
2048,64,313279895.000000,309017233.333333,0.106028,265011104,876656862,335589655,0,4196295,536870912,4
4096,64,1175106196.000000,1174635333.333333,0.401735,1010798491,3506520171,1342255289,0,16781234,2147483648,4
6144,64,3006300292.000000,3064034633.333333,1.046253,2707951407,7889633187,3020040192,0,37754787,4831838208,4
8192,64,6502702837.000000,6559615366.666667,2.311439,6095569850,14025928496,5368876946,0,67116958,8589934592,4
10240,64,11065321548.000000,10830840733.333332,3.780654,9882268049,21915470621,8388830077,0,104867744,13421772800,4
12288,64,16457632723.000000,16249028666.666666,5.599560,15003366494,31558223930,12079863953,0,151007145,19327352832,4
14336,64,22151515817.000000,22616376933.333336,7.803053,20503684401,42954189041,16441979250,0,205535103,26306674688,4
